Title,Year,DOI,PMID,Journal,Abstract,Source,Paper_ID
"Rapid, Sensitive, and Low-Cost EsCas13d and RPA-Based Assay Platform for Rapid and Accurate Identification of SVA.",2026,10.1021/acsinfecdis.5c00889,41460219,ACS infectious diseases,"Rapid, sensitive, and user-friendly nucleic acid diagnostics are critical for controlling outbreaks of Seneca Valley virus (SVA). Here, we present Field-deployable Isothermal Enzymatic Lysis Detection (FIELD), an RNA detection platform for resource-limited settings that integrates rapid detection, operational simplicity, and minimal equipment requirements. FIELD employs a room-temperature lysis protocol to release viral nucleic acids within 2 min, followed by a single-step RPA-CRISPR/Cas13d reaction completed in 30 min. FIELD detects SVA RNA at 8 copies/μL using a plate reader and at 50 copies/μL via visual readout within 35 min, with no cross-reactivity against nontarget viruses. FIELD remains functional at both body (∼37 °C) and room (∼25 °C) temperatures, eliminating the need for temperature-controlled devices. Lyophilized FIELD reagents retain full activity for 1 week at room temperature and remain functional after long-distance transport and storage at 4 °C for up to two months, supporting field deployment. In a clinical evaluation of 88 field samples, FIELD achieved 100% sensitivity and specificity relative to RT-qPCR. Collectively, these features render FIELD well suited for point-of-care testing (POCT) beyond conventional laboratory settings.",PubMed,2026_acsinfecdis
Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection.,2025,10.3855/jidc.18079,40608718,Journal of infection in developing countries,The aim of this study is to develop a one-step real-time PCR assay for SARS-CoV-2 detection. The study was designed to circumvent the routine RNA isolation step and to optimize a lysis buffer and parameters for direct quantitative PCR.,PubMed,2025_jidc18079
Evaluation of direct-to-PCR (D2P) method for molecular diagnosis of infectious diseases.,2025,10.1016/j.yexmp.2025.104972,40424696,Experimental and molecular pathology,"This study evaluates the performance of the Direct-to-PCR (D2P) method as a streamlined, extraction-independent alternative to conventional nucleic acid extraction techniques for diagnosing urinary tract infections, sexually transmitted infections, and respiratory tract infections. The D2P approach employs proprietary antimicrobial peptide-based lysis buffers tailored for bacterial, fungal, and viral targets, enabling direct amplification from clinical and contrived specimens without column- or bead-based purification. Comparative analyses were conducted against silica column-based (QIAGEN) and magnetic bead-based (KingFisher) extraction methods using both microbial reference isolates and 116 residual clinical samples. Results demonstrate that the D2P method yields comparable sensitivity and specificity to conventional extraction workflows across a diverse panel of pathogens-including Gram-negative and Gram-positive bacteria, Candida species, ssRNA viruses (e.g., CoV-229E, Parainfluenza Virus 1 and 2), and dsDNA viruses (e.g., HSV, HAdV). Notably, D2P outperformed both QIAGEN and KingFisher in extracting nucleic acids from Candida auris, a multidrug-resistant fungal pathogen. Limit of detection and amplification efficiency remained within acceptable ranges across all platforms, with R",PubMed,2025_jyexmp2025
"A Hybrid Plasmonic Nanoplatform for One-Pot DNA and Antibody Detection of Hepatitis B, Monkeypox, and Associated Infections.",2025,10.1021/acs.nanolett.5c01407,40143629,Nano letters,"Currently, nucleic acid and antibody tests for infectious diseases are conducted independently, often resulting in fragmented diagnostics and delayed clinical decision-making. Given the diversity of analytes involved in infectious diseases, comprehensive detection is essential in clinical practice. Here, we introduce One-potNASH, a novel DNA and antibody hybrid plasmonic nanoplatform that unifies nucleic acid and antibody detection within a single assay. By integrating extraction-free thermal lysis of 1 μL of serum, One-potNASH achieves single-DNA copy sensitivity while enhancing antibody detection sensitivity by more than 2 orders of magnitude compared to that of an enzyme-linked immunosorbent assay. Clinically, One-potNASH for hepatitis B, monkeypox (MPX), and associated infections can detect DNA and multiplexed antibodies (anti-HBc, anti-HCV, and anti-HIV for hepatitis B and anti-A29L, anti-H3L, and anti-HIV for MPX) with 100% sensitivity and specificity. This integrated approach addresses critical clinical needs by streamlining workflows, reducing diagnosis time, and enabling a comprehensive evaluation of infectious diseases, thereby facilitating rapid therapeutic interventions and improved patient outcomes.",PubMed,2025_acsnanolett
Utility of Extraction-Free SARS-CoV-2 Detection by RT-qPCR for COVID-19 Testing in a Resource-Limited Setting.,2024,10.3390/diseases12090198,39329867,"Diseases (Basel, Switzerland)","The COVID-19 epidemic had a profound impact on global health and the economy and Ghana was no exception to its far-reaching consequences. Regarding detection of the causative agent-the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), reverse-transcription-qPCR (RT-qPCR) is widely recognized as a very sensitive and reliable diagnostic technique used globally. There are, however, high operational costs in acquiring test kits, equipment, and accessories for RT-qPCR testing, which pose significant challenges in resource-limited settings. Hence, this proof-of-concept study set out to develop a more affordable COVID-19 protocol for use in low or lower-middle-income settings, such as Ghana, that would bypass the traditional extraction process using inexpensive reagents and evaluate the possibility of processing samples collected using wooden shaft swabs. Several less expensive media were used for the extraction-free process. Results demonstrated that direct RT-qPCR assay after 5 min heat inactivation of virus at 95 °C in 0.1× PBS or molecular grade water resulted in viral detection with quantification cycle (Cq) values that are comparable to results obtained following the extraction process. Also, wooden shaft swabs could be used for sampling if incubation times are kept to less than 6 h. The study demonstrates that extraction-free protocols are one way to minimize the cost of COVID-19 testing by RT-qPCR.",PubMed,2024_diseases1209
"Assessment of DNA/RNA Defend Pro: An Inactivating Sample Collection Buffer for Enhanced Stability, Extraction-Free PCR, and Rapid Antigen Testing of Nasopharyngeal Swab Samples.",2024,10.3390/ijms25169097,39201783,International journal of molecular sciences,"This study comprehensively evaluated the DNA/RNA Defend Pro (DRDP) sample collection buffer, designed to inactivate and stabilize patient samples. The primary objectives were to assess DRDP's efficacy in ensuring sample stability, facilitating extraction-free polymerase chain reaction (PCR), and ensuring compatibility with rapid antigen testing (RAT). Ninety-five diagnostic nasopharyngeal swab samples tested for influenza virus (influenza A), respiratory syncytial virus (RSV A), and/or severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) were 10-fold diluted with DRDP and anonymized. Initial characterization and retesting of these samples using cobas Liat confirmed 88 samples as positive, validating the presence of viral targets. Results from rapid antigen testing showed lower sensitivity compared to nucleic acid amplification testing (NAAT) but maintained perfect specificity, with 40 out of 88 positive samples by cobas Liat also testing positive for RAT. Direct RT-qPCR of DRDP-diluted samples demonstrated robust compatibility, with 72 out of 88 samples positive for cobas Liat also testing positive by direct RT-qPCR. Non-concordant results could be explained by the 200-fold lower input of extraction-free NAAT. Stability testing involved incubating 31 positive samples at 4 °C, 20 °C, and 37 °C for 7 days, with extraction-free NAAT. DRDP guaranteed viral RNA stability at all temperatures for influenza A, SARS-CoV-2, and RSV A, showing stability up to 7 days at 4 °C. In conclusion, DRDP is an effective stabilizing medium compatible with direct RT-qPCR and rapid antigen testing and shows great potential for optimizing diagnostic processes, particularly in resource-limited or time-sensitive scenarios.",PubMed,2024_ijms25169097
Dried Blood Matrix as a New Material for the Detection of DNA Viruses.,2024,10.1002/adhm.202402506,39075818,Advanced healthcare materials,"The gold standard for diagnosing viruses such as the Hepatitis B Virus has remained largely unchanged, relying on conventional methods involving extraction, purification, and polymerase chain reaction (PCR). This approach is hindered by limited availability, as it is time-consuming and requires highly trained personnel. Moreover, it suffers from low recovery rates of the nucleic acid molecules for samples with low copy numbers. To address the challenges of complex instrumentation and low recovery rate of DNA, a drying process coupled with thermal treatment of whole blood is employed, resulting in the creation of a dried blood matrix characterized by a porous structure with a high surface-to-volume ratio where it also inactivates the amplification inhibitors present in whole blood. Drawing on insights from Brunauer-Emmett-Teller (BET)- Barrett-Joyner-Halenda (BJH) analysis, scanning electron microscopy (SEM), and fluorescence recovery after photobleaching (FRAP), detection assay is devised for HBV, as a demonstration, from whole blood with high recovery of DNA and simplified instrumentation achieving a limit of detection (LOD) of 10 IU mL",PubMed,2024_adhm2024025
Detection of ,2024,10.3390/microorganisms12071285,39065054,Microorganisms,Rapid and accurate detection of ,PubMed,2024_microorganis
Development of Aptamers for RNase Inactivation in Xtract-Free™ Sample Collection and Transport Medium.,2024,10.3390/diagnostics14121207,38928623,"Diagnostics (Basel, Switzerland)","There is a significant need to develop new environmentally friendly, extraction-free sample collection mediums that can effectively preserve and protect genetic material for point-of-care and/or self-collection, home-collection, and mail-back testing. Systematic evolution of ligands by exponential enrichment (SELEX) was used to create anti-ribonuclease (RNase) deoxyribonucleic acid (DNA) aptamers against purified RNase A conjugated to paramagnetic carboxylated beads. Following eight rounds of SELEX carried out under various stringency conditions, e.g., selection using Xtract-Free™ (XF) specimen collection medium and elevated ambient temperature of 28 °C, a panel of five aptamers was chosen following bioinformatic analysis using next-generation sequencing. The efficacy of aptamer inactivation of RNase was assessed by monitoring ribonucleic acid (RNA) integrity via fluorometric and real-time RT-PCR analysis. Inclusion of aptamers in reaction incubations resulted in an 8800- to 11,200-fold reduction in RNase activity, i.e., digestion of viral RNA compared to control. Thus, anti-RNase aptamers integrated into XF collection medium as well as other commercial reagents and kits have great potential for ensuring quality intact RNA for subsequent genomic analyses.",PubMed,2024_diagnostics1
Large-volume RT-LAMP enables extraction-free amplification of HIV RNA from fingerstick plasma.,2024,10.1016/j.aca.2024.342560,38719398,Analytica chimica acta,"Point-of-care (POC) nucleic acid amplification tests (NAAT) can significantly expand testing coverage, which is critical for infectious disease diagnostics and monitoring. The development of various isothermal amplification techniques greatly simplifies NAATs, but the cumbersome nucleic acid extraction step remains a bottleneck for the POC. Alternatively, extraction-free amplification, where crude samples are directly added into the assay, substantially simplifies the workflow. However, sample dilution is often needed in extraction-free amplification to reduce assay inhibition from sample matrices. Since NAATs are typically run at small volumes around 20 μL, the input sample quantity is therefore limited, resulting in an inevitable sensitivity loss.",PubMed,2024_jaca20243
A portable all-in-one microfluidic device with real-time colorimetric LAMP for HPV16 and HPV18 DNA point-of-care testing.,2024,10.1016/j.bios.2023.115968,38150799,Biosensors & bioelectronics,"Screening for high-risk human papillomavirus (HPV) infection is one of the most important preventative measures for cervical cancer. However, fast, convenient, and low-cost HPV detection remains challenging, especially in resource-limited settings. Here, we report a portable all-in-one device (PAD) for point-of-care testing (POCT) for HPV16 and HPV18 DNA in cervical swabs. The PAD was engineered to integrate modules for extraction-free sample lysis, loop-mediated isothermal amplification (LAMP) with lyophilized reagent beads, and real-time colorimetric signal sensing into a single miniaturized device, considerably shortening the sample-to-result time to 15 min. The precision liquid handling in the completely sealed microfluidic chip is achieved by a uniquely designed pressure-balanced automatic liquid flow mechanism, thereby eliminating the need for manual manipulation of liquids and thus the risk of biohazards. The PAD employs an improved real-time colorimetric LAMP (rcLAMP) assay with a limit of detection (LOD) of 1 copy/μL, enabled by enhanced assay chemistry to maximize the reaction kinetics. To validate this device for clinical application, we tested 206 clinical cervical swab samples and obtained a sensitivity of 92.1% and a specificity of 99.0%. This custom PAD enabled by microfluidic and electronic engineering techniques can be configured for the simultaneous detection of HPV16 and HPV18 or other pathogens in point-of-care applications.",PubMed,2024_jbios2023
Pre-analytical properties of different respiratory viruses for PCR-based detection: Comparative analysis of sampling devices and sample stabilization solutions.,2024,10.1016/j.nbt.2023.12.005,38145650,New biotechnology,"After the decline of the COVID-19 pandemic, health systems were challenged by the simultaneous prevalence of different respiratory viruses causing a wide overlap in symptoms. This increased the demand for multi-virus diagnostic tests which require suitable pre-analytical workflow solutions in order to receive valid diagnostic results. In this context, the effects of specimen storage duration and temperature on the RNA/DNA copy number stability of influenza A/B, RSV A/B, SARS-CoV-2 and adenovirus were examined for four commercially available transport swab systems and saliva collection devices. The respiratory viruses were more stable in the saliva collection devices than in the transport swab systems when stored at RT or 37 °C for up to 96 h. Moreover, no differences between viral nucleic acid stability of enveloped and non-enveloped viruses were observed. The infectivity of all enveloped viruses could be inactivated by the saliva collection device from PreAnalytiX. The Norgen saliva device completely inactivated influenza A/B, while RSV A/B were partially inactivated. The non-enveloped adenovirus was inactivated by a reduction factor of 10E+ 4 in both saliva collection devices. All respiratory viruses remained infectious in the transport swab systems. Two possible transport medium additives were tested which inactivated or strongly reduced viral replication of tested enveloped viruses but had no effect on the non-enveloped adenovirus. Finally the implementation of multi-target detection procedures involving a direct amplification approach was successfully tested by spike-in of all enveloped viruses simultaneously into transport swab systems. This fast and reproducible setup presents a valuable solution for future implementations in multi-virus testing strategies.",PubMed,2024_jnbt20231
Field-friendly and ultra-fast detection platform without nucleic acid extraction for virus detection.,2023,10.1016/j.aca.2023.341865,37858555,Analytica chimica acta,"The polymeric chain reaction (PCR) has come under fire for being time-consuming, requiring expensive equipments, and requiring the extraction and purification of nucleic acids. Here, an ultra-fast and sensitive detection platform without nucleic acid extraction solved the above problems. Firstly, the RoomTemp Sample Lysis Kit released the nucleic acid in 3 min and removed the inhibition to facilitate the amplification reaction. What's more, ultra-fast PCR (UF-PCR) can complete 40 cycles in just 15 min and 50 s. To improve the sensitivity and provide more convenient reading modes, CRISPR/Cas12a was mediated to detect Lumpy skin disease virus (LSDV). The platform output fluorescence and Lateral flow dipstick (LFD) signals. The actual detection limit was 2 × 10",PubMed,2023_jaca20233
Extraction-Free Detection of SARS-CoV-2 Viral RNA Using LumiraDx's RNA Star Complete Assay from Clinical Nasal Swabs Stored in a Novel Collection and Transport Medium.,2023,10.3390/diagnostics13183010,37761377,"Diagnostics (Basel, Switzerland)",,PubMed,2023_diagnostics1
