method,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
heat_lysis_or_inactivation,88,40.25,0.603,1101 (32); 0000 (16); 1100 (13),A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta; Extraction-free SARS-CoV-2 detection by rapid RT-qPCR universal for all primary respiratory materials; Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR; Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method; Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.
enzyme_proteinasek_or_other,29,12.0,0.1798,1101 (9); 0000 (8); 0001 (3),A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta; Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method; Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.; A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection; SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing
chelating_resin,18,8.75,0.1311,1101 (7); 0000 (3); 1001 (3),Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method; Sensitive extraction-free SARS-CoV-2 RNA virus detection using a novel RNA preparation method.; Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards; Sensitive extraction-free SARS-CoV-2 RNA virus detection using a chelating resin; A point-of-care SARS-CoV-2 test based on reverse transcription loop-mediated isothermal amplification without RNA extraction with diagnostic performance same as RT-PCR.
detergent_lysis,13,8.0,0.1199,1101 (4); 1110 (2); 0000 (1),Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR; A Saliva-Based RNA Extraction-Free Workflow Integrated With Cas13a for SARS-CoV-2 Detection; SwabExpress: An End-to-End Protocol for Extraction-Free COVID-19 Testing; Comparison of SARS-CoV-2 indirect and direct RT-qPCR detection methods; Development and implementation of a simple and rapid extraction-free saliva SARS-CoV-2 RT-LAMP workflow for workplace surveillance
mechanical,10,4.75,0.0712,0001 (2); 1001 (2); 1100 (2),"A novel two-step, direct-to-PCR method for virus detection off swabs using human coronavirus 229E; A molecular test based on RT-LAMP for rapid, sensitive and inexpensive colorimetric detection of SARS-CoV-2 in clinical samples.; A point-of-care SARS-CoV-2 test based on reverse transcription loop-mediated isothermal amplification without RNA extraction with diagnostic performance same as RT-PCR; A point-of-care SARS-CoV-2 test based on reverse transcription loop-mediated isothermal amplification without RNA extraction with diagnostic performance same as RT-PCR.; Detection of Klebsiella pneumoniae Carbapenem Resistance Genes by qPCR: Choosing the Right Method for Total DNA Extraction"
other:buffer elution (TE) from FTA punches,3,1.75,0.0262,1010 (2); 1110 (1),Optimizing Release of Nucleic Acids of African Swine Fever Virus and Influenza A Virus from FTA Cards
alkaline_ph_shock,3,1.5,0.0225,0100 (1); 1100 (1); 1101 (1),Development and implementation of a simple and rapid extraction-free saliva SARS-CoV-2 RT-LAMP workflow for workplace surveillance; Development and implementation of a simple and rapid extraction-free saliva SARS-CoV-2 RT-LAMP workflow for workplace surveillance testing; Development of Aptamers for RNase Inactivation in Xtract-Free™ Sample Collection and Transport Medium
other:low-pH inactivating/stabilizing collection buffer (DNA/RNA Defend Pro; DRDP) enabling direct RT-qPCR when sample input is limited to a stated fraction of total reaction volume (section 4.4),1,1.0,0.015,1111 (1),"Assessment of DNA/RNA Defend Pro: An Inactivating Sample Collection Buffer for Enhanced Stability, Extraction-Free PCR, and Rapid Antigen Testing of Nasopharyngeal Swab Samples"
"other:inactivating/stabilizing sample collection buffer (DNA/RNA Defend Pro, DRDP) enabling direct RT-qPCR without nucleic acid extraction",1,1.0,0.015,1111 (1),"Assessment of DNA/RNA Defend Pro: An Inactivating Sample Collection Buffer for Enhanced Stability, Extraction-Free PCR, and Rapid Antigen Testing of Nasopharyngeal Swab Samples"
other:direct (extraction-free) RT-qPCR from UTM,1,1.0,0.015,1111 (1),Comparison of SARS-CoV-2 indirect and direct RT-qPCR detection methods
