Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatible,Methods,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Detergents_used,Capture_or_enrichment_or_purification_methods,Evidence,Provenance
A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta,False,False,False,True,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation', 'other:chemical lysis buffer (Tris-Cl, EDTA, NaCl) with additives PVP and β-mercaptoethanol; ethanol wash of tissue']",2014,10.1111/lam.12196,2014_lam12196,1ddfeba9ff,,,0001,0.25,True,[],[],,
A method of direct PCR without DNA extraction for rapid detection of begomoviruses infecting jute and mesta,False,False,False,True,"['enzyme_proteinasek_or_other', 'heat_lysis_or_inactivation', 'other:chemical lysis buffer (Tris-Cl, EDTA, NaCl) with additives PVP and β-mercaptoethanol; optional sodium acetate; ethanol wash of tissue']",2014,10.1111/lam.12196,2014_lam12196,56d588f822,,,0001,0.25,True,[],[],,
Comparison of media and standards for SARS-CoV-2 RT-qPCR without prior RNA preparation.,False,False,False,False,['other:No experimental protocol described on provided pages (references section only; pages 14–15).'],2020,10.1101/2020.08.01.20166173,2020_202008012,02b1995967,,,0000,0.0,False,[],[],,
Rapid Direct Nucleic Acid Amplification Test without RNA Extraction for SARS-CoV-2 Using a Portable PCR Thermocycler,True,True,False,True,['other:use of PCR inhibitor-tolerant/enhanced one-step RT-qPCR mastermix enabling direct amplification from crude sputum/nasal exudate without RNA extraction (DIRECT-PCR; lysis/reverse transcription/amplification in a single-tube homogeneous reaction per Abstract; Pages 1–3)'],2020,10.3390/genes11060664,2020_genes1106066,70a6961b61,,,1101,0.75,True,[],[],,
Rapid Direct Nucleic Acid Amplification Test without RNA Extraction for SARS-CoV-2 Using a Portable PCR Thermocycler,True,True,False,True,['other:direct RT-qPCR (single-tube) from crude respiratory matrices using inhibitor-resistant enzymes/reagents; no RNA purification'],2020,10.3390/genes11060664,2020_genes1106066,fd8e23111d,,,1101,0.75,True,[],[],,
Extraction-free SARS-CoV-2 detection by rapid RT-qPCR universal for all primary respiratory materials,True,False,False,True,['heat_lysis_or_inactivation'],2020,10.1016/j.jcv.2020.104579,2020_jjcv20201,18523d54ee,,,1001,0.5,True,[],[],,
"A novel two-step, direct-to-PCR method for virus detection off swabs using human coronavirus 229E",True,True,True,True,['mechanical'],2020,10.1186/s12985-020-01405-y,2020_s12985-020-0,bb166192fd,,,1111,1.0,True,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,True,True,False,True,['heat_lysis_or_inactivation'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,0a28781f90,,,1101,0.75,True,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,True,True,True,False,['detergent_lysis'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,69d62d4231,,,1110,0.75,False,[],[],,
Massive and rapid COVID-19 testing is feasible by extraction-free SARS-CoV-2 RT-PCR,False,False,False,False,['other:conventional RNA extraction using commercial kit/lysis buffer (referenced comparator workflow)'],2020,10.1038/s41467-020-18611-5,2020_s41467-020-1,a9ac6b4afe,,,0000,0.0,False,[],[],,
