Title,Year,DOI,PMID,Journal,Abstract,Source
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies.,2026,10.1016/j.chroma.2025.466557,41297510,Journal of chromatography. A,"Adeno-associated virus (AAV) vectors are revolutionizing gene therapy with remarkable therapeutic potential. Yet, their clinical translation is limited by inadequate biomanufacturing technologies that compromise product quality and accessibility. Addressing these issues, this study systematically investigates the conditions used for midstream and downstream AAV processing - namely, HEK293 cell lysis, tangential flow filtration (TFF), and chromatographic purification - and their impact on product yield and quality using AAV8 as a model serotype. We evaluated a panel of detergents (Triton X-100, sodium deoxycholate, Deviron C16/S9-13, CTAB, AAV-MAX) and salts (KCl, NaCl), and found that, while the capsid yields were similar across the various lysates, the subsequent process steps exhibited a strong dependence on lysis conditions. In particular, residual detergents in the lysates affected the efficiency of the TFF step by reducing permeate flux and necessitating the use of membranes with higher molecular weight cut-offs or additional buffer exchange prior to affinity capture. Triton X-100 and sodium deoxycholate afforded efficient cell lysis and high vector yields, but compromised TFF throughput. Conversely, lysates produced using salts or CTAB enabled robust TFF, with high permeate flux, and maintained capsid recoveries above 75 %. The subsequent affinity capture of AAV8 from selected lysates using AvXcel resin afforded yields of 45 - 70 %, >100-fold reduction in host cell impurities, and a 1.9-fold enrichment of cell-transducing units. Product polishing by anion-exchange chromatography reached final titers of 5.0 - 7.7 × 10",PubMed
Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection.,2025,10.3855/jidc.18079,40608718,Journal of infection in developing countries,The aim of this study is to develop a one-step real-time PCR assay for SARS-CoV-2 detection. The study was designed to circumvent the routine RNA isolation step and to optimize a lysis buffer and parameters for direct quantitative PCR.,PubMed
An SDS-NaOH-based method to isolate genome of recombinant adeno-associated virus vectors for physical titer measurement.,2025,10.1371/journal.pone.0315921,40179116,PloS one,"Recombinant adeno-associated viruses (rAAVs) vectors are promising for their safety and sustained expression of genetic payloads across various tissues. These vectors consist of a protein capsid enclosing a 4.7 kb single-stranded DNA genome. Rapid and accurate determination of the physical titers of rAAV vector is crucial for quality control in rAAV manufacturing and precise drug dosage in clinical trials. To prepare vector DNA for genome titer assessment, it is essential to completely degrade unencapsulated DNA and dissociate the capsid. Conventional methods typically involve co-incubation with DNase I to degrade unencapsidated DNA, followed by co-incubation with Proteinase K to cleave protein shells. Here, we present a ""Benzonase & SDS-NaOH"" pretreatment as an effective alkaline lysis for releasing the vector DNA. In the presence of producer cell crude extract, Benzonase demonstrated superior efficacy in degrading unencapsidated DNA compared to DNase I. Additionally, the use of SDS-NaOH, effective at 65 °C for 30 min, significantly reduces the time required compared to that of Proteinase K at 56 °C for 2 hours. We also showed that the ""Benzonase & SDS-NaOH"" pretreatment is applicable for vector genome titration in rAAV production, harvest, and purified stock. Moreover, our method is effective for both scAAV and ssAAV forms and across all serotypes, including the thermally stable rAAV5. Overall, this method offers a rapid and straightforward solution to determine rAAV vector genome titers in both purified preparations and during the manufacturing process.",PubMed
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy.,2025,10.1002/btpr.70025,40135817,Biotechnology progress,"Triton X-100 is one of the most widely used detergents for cell lysis in gene therapy product manufacturing. However, due to the aquatic toxicity of the degradation product, Triton X-100 is regulated by the European Chemical Agency as a substance of very high concern. In this study, we aim to identify eco-friendly detergent alternatives to replace Triton X-100. Tween 20, Tween 80, n-Dodecyl-β-D-maltoside (DDM), and Triton CG-110 were tested and compared with Triton X-100. Triton CG-110 demonstrated similar performance during the harvest and subsequent purification process for multiple AAV vectors at different scales. Therefore, Triton CG-110 represents an effective and environmentally safe detergent alternative to Triton X-100.",PubMed
Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents.,2025,10.1016/j.xphs.2025.103761,40107420,Journal of pharmaceutical sciences,"Ensuring viral safety in biopharmaceutical production is vital for global regulatory standards adherence and safeguarding patients. This study evaluates the efficacy of newly developed biodegradable detergent formulations, designed to comply with regulatory requirements, for inactivating enveloped viruses during the cell lysis step of adeno-associated virus (AAV) production. Virus clearance (VC) studies showed robust inactivation kinetics against Xenotropic Murine Leukemia Virus (XMuLV), achieving a log reduction value (LRV) of ≥5.34 within 30 to 120 min. Comparative testing in crude cell lysate and PBS buffer showed consistent viral inactivation across different matrices, highlighting the versatility of the detergent formulations. Importantly, the detergent composition preserved AAV capsid integrity, and subsequent purification steps, including affinity and ion-exchange chromatography, effectively removed residual detergent. Overall, this study demonstrates the potential of biodegradable detergents to simultaneously facilitate cell lysis and viral inactivation in AAV manufacturing, offering a sustainable alternative that aligns with industry standards.",PubMed
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection.,2025,10.1016/j.bios.2025.117314,40054157,Biosensors & bioelectronics,"Infectious diseases are prevalent in resource-limited regions with restricted access to health care. Nucleic acid testing is the gold standard for pathogen diagnosis. However, traditional methods are resource-intensive, which limits their use in point-of-care settings. Microfluidic technologies, such as the immiscible phase filtration-assisted system (IFAST) using paramagnetic particles (PMPs), simplify nucleic acid extraction but face barrier stability issues. The interface between the aqueous and oil phases in current IFAST systems is destabilized under the conditions required for efficient RNA extraction. These conditions include the use of reagents containing high concentrations of surfactants and organic solvents, as well as thermal treatment, which reduces the operational stability, reproducibility, and compatibility of the current IFAST systems. We developed a high-transition-temperature (HTT) paraffin-embedded IFAST-based device to improve barrier stability and extraction efficiency. HTT paraffin remains semi-solid at 65 °C, providing a robust barrier during the thermal lysis and RT-LAMP processes. At 75 °C, the device maintained compartment integrity and reduced carryover during the nucleic acid-bound magnetic particle transfer. Testing with SARS-CoV-2 samples showed detection of as little as 1 copy/μL of the viral genome without false positives. By integrating RNA extraction and colorimetric RT-LAMP detection, this device provided rapid on-site testing, advancing accessible and effective disease management in regions that require rapid diagnostics.",PubMed
Adeno-associated virus serotype 2 capsids with proteolytic cuts by trypsin remain intact and potent.,2025,10.1038/s41434-024-00507-4,39613903,Gene therapy,"Recombinant adeno-associated viral (AAV) vectors have emerged as prominent gene delivery vehicles for gene therapy. In the journey of an AAV vector, AAV vectors can be exposed to different proteolytic environments inside the production cells, during the cell lysis step, within the endosome, and finally inside the cell nucleus. The stability of a modified AAV serotype 2 (AAV2) capsid was evaluated via a proteolytic approach using trypsin and other proteases and both denaturing and non-denaturing analytical methods. Trypsin digestion of the AAV2 capsids resulted in clips of the capsid proteins at the C-terminus as confirmed by denaturing methods including SDS-PAGE, CE-SDS, Western blot, and RPLC-MS. It was found that the AAV2 capsid with clips not only remains structurally intact, as confirmed by non-denaturing methods including SEC, thermostability testing, and cryo-EM, but also remains potent, as confirmed in a cell-based potency assay. This finding reveals that AAV2 capsid with proteolytic cuts remains intact and potent since the icosahedral three-dimensional structural arrangement of AAV capsid proteins can protect the clipped fragment from being released from the capsid, such that the AAV capsid remains intact allowing for the functionality to be maintained to deliver the DNA in the host cell. Evaluation of AAV stability using a proteolytic approach and multiple denaturing and non-denaturing analytical methods can provide valuable information for engineering AAV capsids to develop AAV-based gene therapy.",PubMed
Nucleotide Resolution Mapping of Rift Valley Fever Virus Nucleoprotein-Genome RNA Interactions.,2024,10.1007/978-1-0716-3926-9_18,39039419,"Methods in molecular biology (Clifton, N.J.)","Rift Valley fever virus (RVFV; genus Phlebovirus, family Phenuiviridae, order Bunyavirales) is a mosquito-borne zoonotic pathogen endemic in Africa. Its negative-stranded genomic RNA (vRNA) is divided into three segments termed L, M, and S. Both vRNAs and antigenomic cRNAs are encapsidated by viral nucleoprotein (N) to form nucleocapsids, which constitute the template for genome transcription and replication. Based on a number of electron microscopy and structural studies, the viral RNAs of negative-strand RNA viruses, including phleboviruses, are commonly considered to be entirely and uniformly covered by N protein. However, high resolution data supporting this notion was missing to date.Here, we describe a method how to globally map all N-RNA interactions of RVFV by using iCLIP (individual-nucleotide resolution UV cross-linking and immunoprecipitation). The protocol is based on covalent cross-linking of direct protein-RNA interactions by UV irradiation. Following sample lysis, a selective isolation of N in complex with its RNA targets is achieved by immunoprecipitation. Then, N-RNA complexes are separated by SDS-PAGE, and after membrane transfer, RNA is isolated and subjected to library preparation and high-throughput sequencing. We explain how the standard iCLIP protocol can be adapted to RVFV N-RNA interaction studies. The protocol describes mapping of all N interactions with the vRNAs and cRNAs derived either from RVFV particles or from infected cells.",PubMed
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID,2024,10.3389/fmed.2024.1302648,38318248,Frontiers in medicine,Recombinant adeno-associated virus (rAAV) vectors provide a safe and efficient means for ,PubMed
Efficacy Validation of SARS-CoV-2-Inactivation and Viral Genome Stability in Saliva by a Guanidine Hydrochloride and Surfactant-Based Virus Lysis/Transport Buffer.,2023,10.3390/v15020509,36851723,Viruses,"To enhance biosafety and reliability in SARS-CoV-2 molecular diagnosis, virus lysis/transport buffers should inactivate the virus and preserve viral RNA under various conditions. Herein, we evaluated the SARS-CoV-2-inactivating activity of guanidine hydrochloride (GuHCl)- and surfactant (hexadecyltrimethylammonium chloride (Hexa-DTMC))-based buffer, Prep Buffer A, (Precision System Science Co., Ltd., Matsudo, Japan) and its efficacy in maintaining the stability of viral RNA at different temperatures using the traditional real-time one-step RT-PCR and geneLEAD VIII sample-to-result platform. Although Prep Buffer A successfully inactivated SARS-CoV-2 in solutions with high and low organic substance loading, there was considerable viral genome degradation at 35 °C compared with that at 4 °C. The individual roles of GuHCl and Hexa-DTMC in virus inactivation and virus genome stability at 35 °C were clarified. Hexa-DTMC alone (0.384%), but not 1.5 M GuHCl alone, exhibited considerable virucidal activity, suggesting that it was essential for potently inactivating SARS-CoV-2 using Prep Buffer A. GuHCl and Hexa-DTMC individually reduced the viral copy numbers to the same degree as Prep Buffer A. Although both components inhibited RNase activity, Hexa-DTMC, but not GuHCl, directly destroyed naked viral RNA. Our findings suggest that samples collected in Prep Buffer A should be stored at 4 °C when RT-PCR will not be performed for several days.",PubMed
