Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods,Evidence,Provenance
Effect of Intranodally Administered Dendritic Cell-Based HIV Vaccine in Combination With Pegylated Interferon α-2a on Viral Control Following ART Discontinuation: A Phase 2A Randomized Clinical Trial,False,False,False,['PCR/qPCR'],[],[],,,559986a4fb,95fe58885e,,,000,0.0,[],[],[],,
Effect of Intranodally Administered Dendritic Cell-Based HIV Vaccine in Combination With Pegylated Interferon α-2a on Viral Control Following ART Discontinuation: A Phase 2A Randomized Clinical Trial,False,False,False,[],[],[],,,559986a4fb,ee2420b38b,,,000,0.0,[],[],[],,
Inactivation of SARS-CoV-2 by Commercially Available Disinfectants and Cleaners,False,False,False,[],[],[],,,31177bcace,3600ca9c80,,,000,0.0,[],[],[],,
Malondialdehyde Acetaldehyde-Adduction Changes Surfactant Protein D Structure and Function,False,False,False,[],[],[],,,6e4797e4ae,220c7b4e4a,,,000,0.0,[],[],[],,
Malondialdehyde Acetaldehyde-Adduction Changes Surfactant Protein D Structure and Function,False,False,False,[],[],[],,,6e4797e4ae,220c7b4e4a,,,000,0.0,[],[],[],,
A triton X-100 assisted PMAxx-qPCR assay for rapid assessment of infectious African swine fever virus,True,False,False,['PCR/qPCR'],[],"['Blood viral DNA extraction kit (Qiagen, catalog 51104)']",,,4c22ad6973,3c8a0aff33,,,100,0.3,[],[],[],,
A triton X-100 assisted PMAxx-qPCR assay for rapid assessment of infectious African swine fever virus,True,False,False,['PCR/qPCR'],['Triton X-100'],"['Blood viral DNA extraction kit (Qiagen, catalog 51104)']",,,4c22ad6973,30d00a55dd,,,100,0.3,[],['Triton X-100'],[],,
A triton X-100 assisted PMAxx-qPCR assay for rapid assessment of infectious African swine fever virus,True,True,False,['PCR/qPCR'],['Triton X-100'],[],,,4c22ad6973,576c689971,,,110,0.9,[],['Triton X-100'],[],,
Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures,False,False,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",[],"['FastPure Cell/Tissue DNA Isolation Mini Kit (Vazyme Biotech)', 'RNA fast 200 kit (Fastagen)']",,,990084f89d,269d89ecbc,,,000,0.0,[],[],[],,
Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures,False,False,False,['Western blot'],"['SDS', 'Tween 20']",['RIPA buffer (Beyotime)'],,,990084f89d,f04752a803,,,000,0.0,[],"['SDS', 'Tween 20']",[],,
Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures,False,False,False,[],['Triton X-100'],[],,,990084f89d,cf998eff4f,,,000,0.0,[],['Triton X-100'],[],,
Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures,False,True,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",[],[],,,990084f89d,c5ab62a300,,,010,0.5,[],[],[],,
Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures,False,True,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",[],[],,,990084f89d,c5ab62a300,,,010,0.5,[],[],[],,
Toosendanin suppresses African swine fever virus replication through upregulating interferon regulatory factor 1 in porcine alveolar macrophage cultures,False,True,False,['RT-PCR/RT-qPCR'],[],[],,,990084f89d,d72114797a,,,010,0.5,[],[],[],,
A single dose of Astragalus saponins adjuvanted inactivated vaccine for pseudorabies virus protected mice against lethal challenge,False,True,False,[],[],[],,,0ca6185be8,835f762538,,,010,0.5,[],[],[],,
A single dose of Astragalus saponins adjuvanted inactivated vaccine for pseudorabies virus protected mice against lethal challenge,False,False,False,[],[],"['ACK Lysis Buffer (Beyotime Biotechnology, Nantong, China)']",,,0ca6185be8,58101352a8,,,000,0.0,[],[],[],,
A single dose of Astragalus saponins adjuvanted inactivated vaccine for pseudorabies virus protected mice against lethal challenge,False,False,False,['PCR/qPCR'],[],"['DNA mini kit (Vazyme, Nanjing, China)']",,,0ca6185be8,f9e2867fa8,,,000,0.0,[],[],[],,
A single dose of Astragalus saponins adjuvanted inactivated vaccine for pseudorabies virus protected mice against lethal challenge,False,False,False,['PCR/qPCR'],[],[],,,0ca6185be8,5d02c84fcb,,,000,0.0,[],[],[],,
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli,False,False,False,[],"['NP-40', 'Triton X-100', 'Tween 20', 'CHAPS', 'N-lauroylsarcosine']",[],,,5716ada677,a974e50e80,,,000,0.0,[],"['NP-40', 'Triton X-100', 'Tween 20', 'CHAPS', 'other:N-lauroylsarcosine']",[],,
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli,True,False,False,[],[],[],,,5716ada677,2aa9d0068f,,,100,0.3,[],[],[],,
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli,True,False,False,[],['N-lauroylsarcosine'],[],,,5716ada677,e22bff2504,,,100,0.3,[],['other:N-lauroylsarcosine'],[],,
Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli,False,False,False,[],"['Tween 20', 'Triton X-100', 'NP-40', 'CHAPS', 'N-lauroylsarcosine']",[],,,5716ada677,803efa6329,,,000,0.0,[],"['Tween 20', 'Triton X-100', 'NP-40', 'CHAPS', 'other:N-lauroylsarcosine']",[],,
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",[],[],,,ab38eebf7d,3247f4af83,,,110,0.9,[],[],[],,"Table 1 'Static extraction method' (Page 2) describes coating intact plant tissue with MIL/IL, incubating, collecting hydrophobic liquid, and adding DNA-enriched MIL/IL directly to qPCR buffer; Abstract (Page 1) and Results (Page 2) state DNA-enriched MIL/IL integrated into qPCR buffer without inhibiting reaction."
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",[],[],,,ab38eebf7d,2830b9e6b0,,,110,0.9,[],[],[],,"Table 1 'Dispersive extraction method' (Page 2) describes suspending cut-up tissue in Tris-based buffer, adding MIL, vortexing, recovering MIL with a magnet, and pipetting MIL into qPCR buffer; text notes MILs can be rapidly recovered with a magnet (Page 4) and DNA-enriched MIL integrated into qPCR (Pages 2,5)."
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,['PCR/qPCR'],[],[],,,ab38eebf7d,28f9e12bf3,,,110,0.9,[],[],[],,Table 1 'One-pot PCR method' (Page 2) describes grinding plant tissue and adding tissue + MIL/IL + qPCR buffer directly to reaction; 'One-pot plant cell lysis and qPCR assay' section (Page 6) describes direct integration into qPCR assay during thermocycling and reports successful qPCR amplification after assay optimization.
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,False,True,False,[],['Tween 20'],[],,,ab38eebf7d,ef9b53b470,,,010,0.5,[],['Tween 20'],[],,"During optimization of DNA desorption from MIL into a Tris-based buffer, a non-ionic surfactant was added: 'The addition of 0.05% Tween20 to the desorption solution improved DNA recovery...' (Page 4). (This is described as desorption/transfer from MIL, not primary lysis.)"
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,"['PCR/qPCR', 'unspecified_downstream_assay']",['Tween 20'],[],,,ab38eebf7d,7d40f01c1e,,,110,0.9,[],['Tween 20'],[],,"['Fig. 10 (p.10/14): schematic shows static/dispersive one-step lysis & DNA extraction using IL/MIL; desorb directly into qPCR buffer or Tris buffer; no wash/centrifugation steps depicted.', 'p.9/14 Discussion: DNA recovery by desorption into Tris buffer at 90°C or directly into qPCR assay; notes compatibility with downstream methods including sequencing or Qubit detection (explicitly mentioned).', 'p.11/14 Conclusions/Results text: amplification efficiency reported for tissue coated with MIL and reacted in qPCR assay; fluorescence readout compatible; indicates one-pot qPCR assay is reliable with MIL.', 'p.12/14 qPCR assays and conditions: qPCR reactions contained 0.05% Tween20 (detergent) in the one-pot qPCR assay mixture; thermocycling includes temperatures >40°C; thus not heat-free.']"
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,True,False,['PCR/qPCR'],[],[],,,ab38eebf7d,9878ab4a61,,,110,0.9,[],[],[],,"Page 13/14, section 'Plant cell lysis conditions using MILs and ILs': describes a static one-step lysis/DNA extraction by coating intact plant tissue with MIL/IL and incubating at 25 °C; DNA-enriched MIL added to qPCR assay and 'successfully integrated into the qPCR buffer without inhibiting the reaction'. No wash or centrifugation mentioned for the static method."
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,False,True,False,['PCR/qPCR'],[],[],,,ab38eebf7d,89662bd4c9,,,010,0.5,[],[],[],,"Page 13/14, section 'Plant cell lysis conditions using MILs and ILs': dispersive one-step lysis/extraction includes recovery of MIL with a rod magnet and 'washed once with water'; DNA desorption either during qPCR thermocycling or by heating; no centrifugation mentioned; qPCR compatibility stated."
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,False,False,['unspecified_downstream_assay'],['CTAB'],[],,,ab38eebf7d,255f7e6949,,,100,0.3,[],['CTAB'],[],,"Page 13/14, paragraph 'Conventional plant cell lysis was performed using the CTAB lysis and extraction method...': CTAB lysis buffer used; centrifugation explicitly mentioned for phase separation and pelleting; heat at 60 °C stated; DNA 'reconstituted ... for downstream bioanalytical detection' (assay not specified). No wash step explicitly described."
Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids,True,False,False,[],['SDS'],[],,,ab38eebf7d,9b1eab456d,,,100,0.3,[],['SDS'],[],,"Page 13/14, same 'Conventional plant cell lysis...' paragraph: 'SDS lysis was performed' (referencing Marengo et al.); heating at 100 °C stated; centrifugation stated ('sample was centrifuged...'); downstream compatibility not explicitly stated here."
A new device-mediated miniprep method,False,False,False,['Sequencing'],['SDS'],['GeneJET Plasmid Miniprep Kit'],,,f9d442ec13,c800c9caf2,,,000,0.0,[],['SDS'],[],,
A new device-mediated miniprep method,False,False,False,[],[],['Wizard gDNA purification kit'],,,f9d442ec13,b33db8661e,,,000,0.0,[],[],[],,
A new device-mediated miniprep method,False,False,False,[],['SDS'],[],,,f9d442ec13,a3ff008b92,,,000,0.0,[],['SDS'],[],,
