label,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
Triton X-100,28,7.0,0.3011,0000 (11); 0001 (6); 1000 (2),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis; Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
Tween 20,17,6.25,0.2688,0000 (5); 1101 (4); 0001 (2),"Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives; Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection"
SDS,16,2.75,0.1183,0000 (7); 0001 (4); 1000 (2),A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application; Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Ingestion without Inactivation of Bacteriophages by Tetrahymena; Identification and characterization of the two-component cell lysis cassette encoded by temperate bacteriophage uPYB5 of Lactobacillus fermentum; Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments
IGEPAL CA-630,4,2.25,0.0968,1101 (2); 0001 (1); 0011 (1),An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens; Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; Direct RT-PCR amplification of SARS-CoV-2 from clinical samples using a concentrated viral lysis-amplification buffer prepared with IGEPAL-630
other:unspecified_detergent,5,1.25,0.0538,0001 (2); 0000 (1); 0100 (1),Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli; Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells; Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms
NP-40,9,1.0,0.043,0000 (5); 0001 (2); 0010 (1),"Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives; Identification of Protein Interacting Partners Using Tandem Affinity Purification; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli"
other:hexadecyltrimethylammonium chloride (Hexa-DTMC),2,1.0,0.043,0001 (1); 1101 (1),Efficacy Validation of SARS-CoV-2-Inactivation and Viral Genome Stability in Saliva by a Guanidine Hydrochloride and Surfactant-Based Virus Lysis/Transport Buffer
Tween 80,3,0.75,0.0323,0000 (1); 0100 (1); 0101 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:Triton CG-110,3,0.75,0.0323,0000 (1); 0100 (1); 0101 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-Dodecyl-β-D-maltoside (DDM),2,0.75,0.0323,0100 (1); 0101 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
deoxycholate,2,0.5,0.0215,0000 (1); 1100 (1),Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling
Poloxamer 188,1,0.5,0.0215,1001 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
other:n-octyl-beta-D-glucopyranoside,1,0.5,0.0215,1010 (1),Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly
CTAB,4,0.25,0.0108,0000 (3); 0001 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids
CHAPS,3,0.25,0.0108,0000 (2); 1000 (1),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
other:N-lauroylsarcosine,3,0.25,0.0108,0000 (2); 1000 (1),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
other:sodium deoxycholate,2,0.25,0.0108,0000 (1); 0001 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Deviron 13S9,1,0.25,0.0108,0001 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Deviron C16,1,0.25,0.0108,0001 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Zwittergent,1,0.25,0.0108,0001 (1),fcimb-11-716436
N-lauroylsarcosine (Sarkosyl),3,0.0,0.0,0000 (3),"Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay; Isolation and Characterization of φkm18p, a Novel Lytic Phage with Therapeutic Potential against Extensively Drug Resistant Acinetobacter baumannii"
other:Deviron 13-S9,1,0.0,0.0,0000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Empigen,1,0.0,0.0,0000 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:Empigen BB,1,0.0,0.0,0000 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
other:n-Dodecyl-β-D-maltoside,1,0.0,0.0,0000 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-dodecyl-β-D-maltoside,1,0.0,0.0,0000 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
other:n-octyl-β-D-glucopyranoside,1,0.0,0.0,0000 (1),Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly
